OTU ID,kingdom,phylum,class,order,family,genus,species
OTU6636,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__MND1,s__uncultured_bacterium_g__MND1
OTU6645,Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__norank_o__Rokubacteriales,g__norank_f__norank_o__Rokubacteriales,s__uncultured_bacterium_g__norank_f__norank_o__Rokubacteriales
OTU6650,Bacteria,p__Actinobacteriota,c__MB-A2-108,o__norank_c__MB-A2-108,f__norank_o__norank_c__MB-A2-108,g__norank_f__norank_o__norank_c__MB-A2-108,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__MB-A2-108
OTU6656,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU6659,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Solirubrobacter,s__unclassified_g__Solirubrobacter
OTU6667,Bacteria,p__Gemmatimonadota,c__AKAU4049,o__norank_c__AKAU4049,f__norank_o__norank_c__AKAU4049,g__norank_f__norank_o__norank_c__AKAU4049,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__AKAU4049
OTU6668,Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__norank_f__Isosphaeraceae,s__uncultured_bacterium_g__norank_f__Isosphaeraceae
OTU6674,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__uncultured_actinobacterium_g__norank_f__67-14
OTU6686,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU6703,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__unclassified_g__Streptomyces
OTU6708,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__unclassified_g__norank_f__norank_o__IMCC26256
OTU6710,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__unclassified_o__Frankiales,g__unclassified_o__Frankiales,s__unclassified_o__Frankiales
OTU6718,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__Nordella,s__uncultured_bacterium_g__Nordella
OTU6723,Bacteria,p__Armatimonadota,c__Armatimonadia,o__Armatimonadales,f__norank_o__Armatimonadales,g__norank_f__norank_o__Armatimonadales,s__uncultured_soil_bacterium_g__norank_f__norank_o__Armatimonadales
OTU6728,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__uncultured_bacterium_g__norank_f__norank_o__Gaiellales
OTU6732,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Luedemannella,s__uncultured_bacterium_g__Luedemannella
